Logistic regression summary for select experiments.
Null hypothesis: tuber-level statistics are not associated with the epileptogenic focus.
Dependent variables: [0 1] a label indicating whether the lobe is epileptogenic or not.
Independent variables: [a1 a2 ... a8] - variables for individual lobes.
Mode: mask being used. either ground truth or prediction from deep learning.
Vnorm: whether variables are normalized by the volume of each lobe.
Control_lobe: a dummy variable indicating for the lobe is added to control for different lobes.
Znorm: whether variables are znormalized by all subjects. This accounts for different tuber distribution across 8 target lobes
Area(variable): volume of tubers in each lobe normalized by gross lobe volume.
Ntuber(variable): number of tubers in each lobe normalized by gross lobe volume. can be critically affected by CC3D algorithm
Intensity(variable): intensity distribution statistics of tubers in each lobe. Mean | std | 75 percentile | 90 percentile
Cutoff: Holm-Bonferroni cutoff p-value for rejection.
Reject H0: whether the null hypothesis is rejected. True means significant correlation.
Correct: subject numbers with correct prediction for epileptogenic lobe.
Wrong: subject numbers with correct prediction for epileptogenic lobe. 

Mode, Variable, Control_lobe, Vnorm, Znorm, Corr_coeff, Corr_pvalue, Cutoff, Accuracy, Reject, Correct, Wrong
gt_cystic_only,area,True, True,False,31.046488,0.000202,0.001429,0.500000, True, 39/44/63/106, 2/15/46/107
gt_cystic_only,ntuber,True, True,False,8434.293394,0.153249,0.005556,0.500000, False, 39/46/63/106, 2/15/44/107
gt_cystic_only,intensity,True, True,False,108540.274624,0.299429,0.007143,0.125000, False, 15, 2/39/44/46/63/106/107
gt_tuber_only,area,True, True,False,1.682479,0.075159,0.003571,0.285714, False, 29/39/40/44/104/106, 10/12/15/2/3/45/46/50/59/62/63/100/102/105/107
gt_tuber_only,ntuber,True, True,False,3786.697298,0.061224,0.002632,0.238095, False, 10/39/45/100/105, 12/15/29/2/3/40/44/46/50/59/62/63/102/104/106/107
gt_tuber_only,intensity,True, True,False,-61666.528353,0.361340,0.010000,0.047619, False, 46, 10/12/15/29/2/39/3/40/44/45/50/59/62/63/100/102/104/105/106/107
gt_tuber_and_cystic,area,True, True,False,1.812447,0.049010,0.002500,0.285714, False, 29/39/40/44/104/106, 10/12/15/2/3/45/46/50/59/62/63/100/102/105/107
gt_tuber_and_cystic,ntuber,True, True,False,3676.668870,0.069920,0.002941,0.238095, False, 10/39/45/100/105, 12/15/29/2/3/40/44/46/50/59/62/63/102/104/106/107
gt_tuber_and_cystic,intensity,True, True,False,19739.156731,0.751443,0.025000,0.142857, False, 39/46/106, 10/12/15/29/2/3/40/44/45/50/59/62/63/100/102/104/105/107
gt_cystic_only,area,True, False,False,0.000157,0.000485,0.001515,0.500000, True, 39/44/63/106, 2/15/46/107
